Footnote,Year,"Country of origin","Country of asylum","Population type"
"Figure adjusted to reflect the results of a verification exercise, identification of new cases and the number of individuals who had their nationality confirmed between 2014 and 2016.",2016,278,29,STA
"Based on the information reported in the media as well as UNHCR protection monitoring activities, UNHCR estimates there to be 2,800 people of various origins in Tajikistan who may be in need of international protection",2024,278,189,REF
"The statelessness figure refers to stateless persons with permanent residence reported by the Government of Uzbekistan in December 2019 under the XII Report on compliance of Uzbekistan with CERD. Information on other categories of statelessness is unavailable.",2019,278,203,STA
"The statelessness figure refers to a census from 2011 and has been adjusted to reflect the number of persons with undetermined nationality who had their nationality confirmed in 2011-2016.",2016,278,3,STA
"The numbers reported in Ukraine are an extrapolation of the 2001 census figure of persons who self-declared as not having a nationality. It includes 5,700 persons who are registered as stateless by the Ministry of the Interior of Ukraine.",2023,278,200,STA
"The total stateless population in Malaysia includes 9,040 non-displaced stateless persons who may be entitled to Malaysian nationality under the law. This number of non-displaced stateless persons is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR, and, among those registered, 930 persons acquired Malaysian nationality in 2019. The total statelessness figure reported also includes 99,292 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. This approach is being used for Malaysia for the first time in 2019.",2019,278,127,STA
"The figure of Others of concern has been provided by the Government of Colombia.",2019,278,44,OOC
"Pending a more accurate study into statelessness in Iraq, the figure is an estimate based on various sources.",2019,278,92,STA
"Refugee figure relates to the end of 2015.",2016,278,6,REF
"The figure includes persons determined to be stateless following the statelessness determination procedure and persons with undetermined nationality who hold expired Soviet passports.","2015, 2023",278,122,STA
"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 178 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 252,017 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",2015,278,115,STA
"Updated figure is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR, which began in 2014. During 2017, 906 persons of those registered acquired Malaysian nationality.",2017,278,127,STA
"Decisions during 2018 are not available.",2018,278,144,ASY
"Figure refers to a census from 2011 and has been adjusted to reflect the number of persons with undetermined nationality who had their nationality confirmed in 2011-2016.",2016,278,3,STA
"The statelessness figure refers to stateless persons with permanent residence reported by the Government in 2010. The figure has been adjusted to reflect the acquisition of nationality of 179 formerly stateless persons. Information on other categories of stateless persons is not available.",2016,278,203,STA
"The figure is based on an estimate of ethnic Vietnamese persons whose legal identity documents were withdrawn and whose nationality is undetermined.",2023,278,32,STA
"Refugee figure for Iraqis and stateless persons in the Syrian Arab Republic was a Government estimate. UNHCR has registered and is assisting 16,900 Iraqis at the end of 2016.",2016,278,185,STA
"The refugee population includes 243,000 persons originating from Myanmar in a refugee-like situation. The Government of Bangladesh estimates the population to be between 300,000 and 500,000.",2016,278,20,REF
"This figure includes persons of concern who fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",2017,278,115,STA
"Stateless refugees from Myanmar of Rohingya ethnicity in Iran have been resettled in 2023. No estimates of the entire stateless population in the Islamic Rep. of Iran is available.",2023,278,91,STA
"The methodology for estimating the number of refugees in Australia is under review and subject to adjustment in future reports.",2022,278,11,REF
"Brazil reported 95,800 people in a refugee-like situation, primarily Haitian nationals (87,400), who have been granted a humanitarian residency permit.",2023,278,27,REF
"The Republic of Latvia enacted a Law on Stateless Persons on 17 February 2004, which replaced the Law on the Status of Stateless Persons in the Republic of Latvia of 18 February 1999, and which determines the legal status of persons who are not considered as citizens by the legislation of any State and whose status is not determined by the 25th April 1995 law (quoted below).",2015,278,115,STA
"The figure of IDP returns was released by the ""Commissions de mouvements de population” and covers the period from April 2018 to September 2019.",2019,278,41,IDP
"In the absence of official data, the figure reported refers to stateless persons and persons with undetermined nationality identified by UNHCR partner organizations in Turkmenistan. The increase in the reported figure is due to the identification of new persons in stateless situations.",2021,278,190,STA
"According to the results of the 2020 All-Russia Census finalized at end 2022, some 91,173 persons declared themselves stateless of whom 2,988 persons obtained Russian citizenship in 2023.",2023,278,160,STA
"The number of refugees will be re-estimated based on the data received from from the government as of start 2022.",2022,278,138,REF
"The figure includes: i) 300,000 children abandoned at birth: Government estimate of individuals of unknown parentage who were abandoned as children and who are not considered as nationals under Ivorian law. ii) 400,000 descendants of immigrants: Government estimate of individuals who themselves or whose parents or grandparents migrated to Côte d’Ivoire before or just after independence and who did not establish their nationality at independence or before the nationality law changed in 1972. The estimate is derived in part from cases denied voter registration in 2010 because electoral authorities could not determine their nationality at the time.",2015,278,87,STA
"Decisions during the year are not available.",2017,278,144,ASY
"The figure is an estimate.",2015,278,185,STA
"The statelessness figure refers to the census figure from 2010 adjusted to reflect the number of stateless persons who acquired nationality in 2011-2018.",2018,278,160,STA
"Since 2007, people in refugee-like situations are included in the refugee estimates. Figures as from 2007 are not fully comparable with previous years",2017,278,278,REF
"The number of other people in need of international protection is estimated from the Regional Refugee and Migrant Response Plan.",2022,278,38,OIP
"Figure refers to stateless persons with permanent residence reported by the Government in 2010. The figure has been adjusted to reflect the acquisition of nationality of 179 formerly stateless persons. Information on other categories of stateless persons is not available.",2016,278,203,STA
"Figure refers to persons who have been recognized as stateless through the statelessness determination procedure in 2013 - 2018.",2018,278,70,STA
"The figure reported under “Stateless people including displaced Rohingya population from Myanmar”  relates to stateless persons in Rakhine state and persons of undetermined nationality residing in other states in Myanmar. This figure includes stateless IDPs who are also of concern under the statelessness mandate.The number of remaining stateless persons residing in northern Rakhine after the violence of 2016 and 2017 and the large scale departures to Bangladesh was uncertain as no comprehensive data was available and access had been severely constrained. The numbers of remaining Rohingya population in Rakhine State was estimated based on the outcome of a very thorough, village tract by village tract, exercise conducted by UNHCR and the Maungdaw Inter-Agency Group members (a group composed of all UN and NGOs operational in northern Rakhine State) in early 2018. The outcome of this exercise enabled UNHCR to conclude that between 532,000 to 600,000 stateless persons remain in Rakhine State (inclusive of both displaced and non-displaced stateless), among which between 200,000 and 240,000 are in the three northern townships. For the purpose of the UNHCR’s Global Trend Report the higher range of this estimate has been used. Outside of Rakhine state, the figure of those with undetermined nationality (25,939) is based on government data released on 27 December 2016 indicating the number of persons who hold an Identity Card for National Verification, and whose Myanmar citizenship has not yet been confirmed.",2018,278,135,STA
"The figure refers to the census figure from 2010 adjusted to reflect the number of stateless persons who acquired nationality in 2011-2015. The figure includes 12,881 stateless persons holding a temporary or a permanent residence permit.",2015,278,160,STA
"Refugee figure for Iraqis and Stateless persons in the Syrian Arab Republic was a Government estimate. UNHCR has registered and is assisting 16,300 Iraqis at the end of 2017.",2017,278,185,STA
"No estimations for the non-displaced stateless population for the country are available.",2023,278,153,STA
"The figure is an extrapolation of the 2001 census figure of persons who self-declared as not having a nationality. It includes 3,217 persons who are registered as stateless by the Ministry of the Interior of Ukraine.",2015,278,200,STA
"As no government figures for the refugee population in the country is available, UNHCR estimates the number of refugees by assuming that it is the sum of all asylum-seekers recognized during the last ten years on a rolling basis.",2024,278,12,REF
"Host community refers to a community that hosts large populations of refugees or internally displaced persons, whether in camps, integrated into households, or independently. UNHCR reports on host communities in countries with substantive programmes focusing on sharing the burden of hosting large refugee populations, as set out in the Global Compact on Refugees.",2021,278,278,HST
"The updated statelessness figure is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR, which began in 2014. During 2016, 874 persons of those registered acquired Malaysian nationality.",2016,278,127,STA
"Figure based on a registration exercise in three regions and 769 people registered as stateless by the Ministry of Internal Affairs of Tajikistan.",2016,278,189,STA
"The 2014 ministerial declaration that offered Prima Facie refugee status to persons fleeing generalised violence from Central African Republic from January 2013 onwards is no longer applicable. As such, all refugees are assessed on an individual basis by the National Commission for Refugees.",2021,278,41,"ASY,REF"
"The refugee figure is currently under review, which may lead to an adjustment in future reports.",2015,278,202,REF
"UNHCR is currently working with the authorities and other actors to determine the size of the population that found an effective nationality solution under Law 169-14. Since the adoption of Law 169-14 in May 2014, important steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents before 2007. According to information shared by the Dominican delegation during the 2019 High-Level Segment on Statelessness, approximately 48 per cent of the total Group A population of 61,049 persons had been authorized by the National Electoral Board (JCE) to request their nationality documentation. Additionally, as of December 2019, over 1,700 Group B persons (900 of which were children) had submitted applications for naturalization to the Ministry of Interior and of the Police (MIP). However, no naturalization decisions concerning this population had been issued by June 2021. Data on refugees and asylum-seekers is as of mid-2021.",2021,278,53,STA
"The decrease in the stateless population in France between 2023 and mid-2024 is due to de-duplication of figures reported in previous years.",2024,278,64,STA
"Based on new arrivals information in the report of international organizations and UNHCR protection monitoring activities, UNHCR estimates there to be 25,500 people of various origins in Kyrgyzstan who may be in need of international protection.",2024,278,100,REF
"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 164 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 195,190 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",2021,278,115,STA
"The estimated figure of persons of concern under the statelessness mandate relates to stateless persons of Rohingya ethnicity in Rakhine State and also includes stateless IDPs in Myanmar. The number of persons of undetermined nationality residing in other states or regions in Myanmar is not currently available. The number of stateless persons remaining in Rakhine State following violence in 2016 and 2017 and large scale departures to Bangladesh is based on detailed estimates for each village tract made by UNHCR, other UN agencies and NGOs in early 2018, which concluded that between 532,000 to 600,000 Rohingya remained in Rakhine State (including an estimated 140,886 of those Rohingya who have been internally displaced). For the purposes of this report, the higher range of this estimate has been used.",2019,278,135,STA
"No official data on the actual number of refugees residing in Bulgaria is available. The estimate includes 68,300 Ukrainians who received temporary protection, and 29,400 other refugees.",2023,278,30,REF
"The figure is reported by the Government.",2023,278,9,STA
"The total stateless population in Malaysia includes 9,400 non-displaced stateless people who may be entitled to Malaysian nationality under the law. This number of non-displaced stateless people is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR.",2024,278,127,STA
"This figure includes persons of concern who fall under Latvia’s 25th April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any other State (“Non-citizens”). In the specific context of Latvia, the “Non- citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",2015,278,115,STA
"The figure is based on an NGO analysis of government registry data and may not represent the full magnitude of statelessness in Slovenia.",2015,278,181,STA
"Figure refers to a population of undetermined nationality.","2015, 2023",278,45,STA
"The figures include an estimated 141,000 stateless IDPs who are also of concern under the statelessness mandate.",2019,278,135,IDP
"Based on reports from international organizations, UNHCR estimates that there are approximately 3,600 Afghan nationals residing in Turkmenistan who are likely in need of international protection",2023,278,190,REF
"UNHCR is currently working with the authorities and other actors to determine the size of the population that found an effective nationality solution under Law 169-14. Since the adoption of Law 169-14 in May 2014, important steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents. According to information released by the authorities, 20,872 individuals had been issued their Dominican civil documents by the end of 2017.",2017,278,53,STA
"This figure does not include potentially stateless Bedouin or former USSR citizens who may be stateless.",2023,278,93,STA
"An adjustment to 2016 end of year figures, in particular for the number of asylum applications pending on appeal and review, has resulted in a substantially lower figure for numbers of asylum-seekers reported in South Africa.",2016,278,159,ASY
"Only those asylum-seekers facing acute or imminent protection risks are registered by UNHCR. In addition, there are some 6,100 other asylum-seekers who were individually assessed, counselled and advised to inform UNHCR of any changes in their situation, which would justify a decision to register them.",2020,278,163,ASY
"The number of refugees in Australia has been revised using updated data on the number of residence permit holders with refugee status by the end of 2023, as received from the government.",2023,278,11,REF
"In the South Caucasus region, 141,900 refugees fled to Armenia with most of them arriving after renewed armed conflict in Karabakh in September 2023.",2023,278,10,REF
"The statistics of the remaining IDPs at the end of the year, while provided by the Government authorities at the district level, are being reviewed by the central authorities. Once this review has been concluded, the statistics will be changed accordingly.",2015,278,112,IDP
"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 176 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 242,560 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",2016,278,115,STA
"Figure refers to individuals without a nationality who were born in the Dominican Republic prior to January 2010 and who were identified by UNHCR in Haiti during the reporting period.",2015,278,81,STA
"Figure from the 2010 census.","2015, 2023",278,47,STA
"The figure of persons of concern under the statelessness mandate relates to stateless persons in Rakhine state and persons of undetermined nationality residing in other states in Myanmar.The figure of stateless persons in Rakhine state has been estimated on the basis of the 2014 census report and 2017 General Administration Department (GAD) of Ministry of Home Affairs (MoHA) data. It does not include an estimated 125,575 stateless IDPs who are also of concern under the statelessness mandate because they are already included within the IDP figures. In Rakhine State, the  total number of stateless persons were estimated to be approximately one million in 2014 according to the Government census reporr.Revisions have been made to take into account the number of stateless persons who fled to Bangladesh during 2017. The number of remaining stateless persons residing in Maungdaw area as of end of December 2017 is highly uncertain as no reliable comprehensive data is available and access has been severely constrained.Outside of Rakhine state, the figure of those with undetermined nationality (25,939) is based on government data released on 27 December 2016 indicating the number of persons who hold an Identity Card for National Verification, and whose citizenship has not yet been confirmed.",2017,278,135,STA
"Stateless persons reported by UNHCR correspond to recognized stateless persons who have been granted a residence permit in Belgium and who are therefore registered in the national register. It should be noted that recognized stateless persons who have not been granted a residence permit are not taken into account in figures provided by the Belgian Government.",2023,278,17,STA
"The figure is based on an estimate of 18,500 in 2019 by UNHCR with input from stateless communities of whom 1,670 stateless persons of Shona descent were granted Kenyan citizenship in 2020. In 2022 approximately 7,000 individuals from the Pemba community had their nationality confirmed.",2023,278,99,STA
"The number of asylum applications includes 38,278 asylum applications not yet formalized, i.e. individuals with an appointment to complete the application procedure, as well as 11,066 applicants whose cases have been processed but have yet to receive notification of the decision on their asylum applications. The latter relate primarily to cases received prior to 2020. Until end-2020 these were reported under others of concern and have since been re-classified as asylum applications since the 2021 mid-year statistical report.",2021,278,45,ASY
"Start-year figure comes from the 2022 census, with changes during the year reflecting updated reporting by the Ministry of the Interior.",2023,278,84,STA
"The statistics on asylum-seekers (new applications, re-opened/repeat applications and/or appeal application) and refugees individually recognized in Canada include persons who had their claim assessed before the Refugee Protection Division and the Refugee Appeal Division of the Immigration Refugee Board as well as by the Department of Immigration, Refugees and Citizenship Canada through a Pre-Removal Risk Assessment.","2020, 2024",278,33,ASY
"The statistics on asylum-seekers (new applications, re-opened/repeat applications and/or appeal application) in Canada include persons who had their claim assessed before the Refugee Protection Division and the Refugee Appeal Division of the Immigration Refugee Board as well as by the Department of Immigration, Refugees and Citizenship Canada through a Pre-Removal Risk Assessment.",2023,278,33,ASY
"The IDP figure has been aligned to the inter-agency methodology as defined in the 2020 Humanitarian Needs Overview. Figure of others of concern relates to persons who have specific protection needs and live in non-government-controlled areas or within 20 km of the contact line in government-controlled areas.",2019,278,200,IDP
"Refugee figure relate to the end of 2014.",2015,278,153,REF
"This revised estimate of 133,770 stateless persons includes only individuals born in the country to parents who were both born abroad, It does not include individuals born in the country to one foreign-born and one Dominican-born parent, as per the previously reported figure of 210,000. This estimate does not include subsequent generations of individuals of foreign descent, as there is no reliable population data available on groups other than first-generation individuals. As such, this estimate does not include all persons without nationality in the country. It will be adjusted as official data becomes available on the number of individuals who have found an effective nationality solution.",2015,278,53,STA
"The figures for stateless individuals in Spain represent the 8,525 individuals recognized through the Spanish stateless determination procedure under the 1954 Convention relating to the Status of Stateless Persons, as well as 38 stateless refugees and 15 stateless asylum-seekers. Source: Permanent Observatory on Immigration, Spanish Ministry of Inclusion, Social Security and Migration.",2024,278,173,STA
"The figure does not include potentially stateless Bedouin nor all stateless former USSR citizens.",2015,278,93,STA
"The figure is an estimate based on previous NGO analysis of government data and may not represent the full magnitude of statelessness in Slovenia.",2023,278,181,STA
"Pending a more accurate study into stateless in Iraq, the estimated reduction of stateless persons in Iraq has been adjusted to reflect the reduction of statelessness in line with Law 26 of 2006, which allows stateless persons to apply for nationality in certain circumstances. The total reduction of 115 (from 47,630 to 47,515) comes from estimates based on various sources.",2018,278,92,STA
"The figure of 20,000 is an estimate by UNHCR and civil society organizations based on currently available information on several communities in Kenya. This estimate is under review pending further research and mapping activities.",2015,278,99,STA
"The figure related to the mid of 2018.",2018,278,159,REF
"The total statelessness figure reported relates to 17,730 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. This approach is being used for India for the first time in 2019.",2019,278,88,STA
"The Indo-Chinese population in China is no longer considered as refugees under UNHCR's mandate and has been removed from UNHCR's statistical reporting since June 2022, because they have full access to public services and enjoy the same rights as nationals.",2022,278,37,REF
"2011 census figure adjusted to reflect number of persons that acquired naionality.",2015,278,133,STA
"The statelessness figure refers to a census from 2011 and has been adjusted to reflect the number of persons with undetermined nationality who had their nationality confirmed in 2011- 2020.",2020,278,3,STA
"In the absence of official data, the figure reported refers to stateless persons and persons with undetermined nationality identified by UNHCR partner organizations in Turkmenistan. The decrease in the reporting figure is due to naturalization in Turkmenistan and confirmation of nationality by a third country.",2019,278,190,STA
"Based on reports from international organizations, UNHCR estimates that there are approximately 3,600 Afghan nationals residing in Turkmenistan who are likely in need of international protection.",2024,278,190,REF
"Figure on the number of registered stateless persons has been updated by the Royal Thai Government. It includes an increase of 61,070 persons who are expected to form a large proportion of the group which will benefit from positive changes introduced to the nationality framework in December 2016. In addition it reflects decreases as a result of 8,814 stateless persons acquiring Thai nationality in 2016 and 8,377 cases that were de-registered because of death or duplicate registration.",2016,278,188,STA
"IDP figure in Ukraine includes 700,000 people who are in an IDP-like situation.",2018,200,200,IDP
"The figure is an estimated number of individuals who are stateless, including people who are unable to establish their nationality from among the Indian community (Tamils). Estimate is based on NGO and media reports, some citing official sources.",2015,278,127,STA
"The decrease in the stateless population in Sweden between 2022 and 2023 is due to de-duplication of figures reported in previous years.",2023,278,183,STA
"UNHCR is currently working with the authorities and other actors to determine the size of the population affected by ruling 168-13 that found an effective nationality solution. Since the adoption of Law 169-14 in May 2014, steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents before 2007. According to information shared by the Central Electoral Board (JCE) in 2022, out of the total Group A population of 61,206 persons, approximately 26,200 had obtained their Dominican nationality documentation. Additionally, as of December 2020, over 1,830 persons (800 of which were children) – out of the 7,159 approved individuals who had applied to the regularization plan established in Law 169-14 (Group B)- had submitted applications for naturalization to the Ministry of Interior and of the Police (MIP). Up until December 2023, two naturalization decrees had been issued granting Dominican nationality to 799 applicants, all of whom are still pending to receive nationality documentation.",2023,278,53,STA
"The decrease in the stateless population in Finland between 2022 and 2023 is due to de-duplication of figures reported in previous years.",2023,278,61,STA
"The figure reported includes 854,704 stateless persons of Rohingya ethnicity who are also counted as refugees from Myanmar, mainly from Rakhine State. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. This approach has been used for Bangladesh since 2017.",2019,278,20,"REF,STA"
"Figure is an extrapolation of the 2001 census figure of persons who self-declared as not having a nationality. It includes 5,363 persons who are registered as stateless by the Ministry of the Interior of Ukraine.",2016,278,200,STA
"The figure on the number of registered stateless persons has been updated by the Royal Thai Government. It includes an increase of 61,070 persons who are expected to form a large proportion of the group which will benefit from positive changes introduced to the nationality framework in December 2016. In addition it reflects decreases as a result of 8,814 stateless persons acquiring Thai nationality in 2016 and 8,377 cases that were de-registered because of death or duplicate registration.",2016,278,188,STA
"Figure is an extrapolation of the 2001 census figure of persons who self-declared as not having a nationality. It includes 5,294 persons who are registered as stateless by the Ministry of the Interior of Ukraine.",2017,278,200,STA
"The number of refugees was rebased using updated data on the number of residence permit holder with refugee status and temporary protection holders by the end of 2023, available from Eurostat.",2024,278,94,REF
"The UK’s stateless figures show the number of stateless individuals recognised through the UK's stateless determination procedure since it began in 2013. In previous years, this figure has been calculated by adding all grants of stateless leave. This resulted in unavoidable double counting for stateless individuals who were applying for further statelessness leave after the expiry of their initial grant of leave. The UK Government has now provided data for initial and subsequent grants. The subsequent grants have therefore been removed from the previous cumulative figure between 2013 - 2018. Since 2019, the cumulative figure now only includes initial grants of leave following individuals’ recognition as stateless. At the end of 2022, the total number of individuals recognised under UK’s statelessness determination procedure is 319. UNHCR further provides the number of asylum-seekers and refugees whose nationality has been recorded as ‘stateless’ as part of the asylum process. For this group there has been no formal determination that they are stateless.",2022,278,70,STA
"In 2022, Nicaraguans and Venezuelans (only October to December) started their applications by obtaining an appointment to formalize their asylum claim. The appointment process for Nicaraguans and Venezuelans ended in December 2022.",2022,278,45,ASY
"Data include asylum-seekers registered with UNHCR as well as asylum-seekers who have been pre-registered but who are pending official registration with UNHCR.",2015,278,196,ASY
"With regards to stateless statistics, the number reported on stateless asylum seekers at mid-year is derived from the number of pending asylum applications lodged by ""stateless"" and ""unknown"" reported by the Swedish authorities. The reported number of stateless refugees and of non-displaced stateless people is as of end-2023, as no updated data was provided by the authorities.",2024,278,183,STA
"The figure of 18,500 is an estimate by UNHCR and civil society organizations based on currently available information on several communities in Kenya.",2017,278,99,STA
"In situ figure based on the 2011 census.",2023,278,49,STA
"Figure of stateless persons refers to those with permanent residence reported in 2010 by the Government. Information on other categories of stateless persons is not available.",2015,278,203,STA
"Refugee figure is a Government estimate.",2019,278,196,REF
"The refugee population in Jordan includes 31,000 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",2022,278,96,REF
"Figure from the National Institute of Statistics (ISTAT).",2016,278,94,STA
"Naturalization figures refer to the admission of protected persons as permanent residents of Canada. End-year stock refers to protected persons who are yet to acquire permanent resident status. The statistics on refugees individually recognized in Canada include persons who had their claim assessed before the Refugee Protection Division and the Refugee Appeal Division of the Immigration Refugee Board as well as by the Department of Immigration, Refugees and Citizenship Canada through a Pre-Removal Risk Assessment.",2023,278,33,REF
"The total statelessness figure reported relates to 582 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. This approach is being used for Indonesia for the first time in 2019. There are also indications that a potentially sizable population of non-displaced stateless persons exists for whom no data is available.",2019,278,89,STA
"Data for the number of refugees is as of mid-2022.",2022,278,25,REF
"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 178 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 233,393 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",2017,278,115,STA
"Figure is based on the total cumulative figure from the Victim’s Registry which commenced in 1985 (https://www.unidadvictimas.gov.co/en).",2019,278,44,IDP
"Figure of Stateless persons is Updated from the Royal Thai Government. The decrease includes the grant of Thai nationality to over 18,000 stateless people in the last three years.",2015,278,188,STA
"Persons under UNHCR’s statelessness mandate were included in the category “Others of concern” until 2003.",2017,278,278,"STA,OOC"
"Based on new arrivals information in the report of international organizations and UNHCR protection monitoring activities, UNHCR estimates there to be 27,540 people of various origins in Kyrgyzstan who may be in need of international protection.",2023,278,100,REF
"The IDP figure has been aligned to the inter-agency methodology as defined in the 2022 Humanitarian Needs Overview, including an area-based improvement of the estimation of people displaced in government-controlled areas. The others of concern figure relates to persons who have specific protection needs and live in non-government-controlled areas.",2021,278,200,IDP
"The estimated figure of persons of concern under the statelessness mandate relates to stateless persons of Rohingya ethnicity in Rakhine State, including stateless Rohingya IDPs in Myanmar. The number of persons of undetermined nationality residing in other states or regions in Myanmar is not currently available. The number of stateless people remaining in Rakhine State following violence in 2016 and 2017 and large scale departures to Bangladesh is based on detailed estimates for each village tract made by UNHCR, other UN agencies and NGOs in early 2018, which concluded that between 532,000 to 600,000 Rohingya remained in Rakhine State, increasing to 634,000 due to additional displacement (including an estimated 247,800 of those Rohingya who have been internally displaced).",2024,278,135,STA
"The refugee population in Jordan includes 34,200 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",2021,278,96,REF
"There are indications that a potentially sizable population of non-displaced stateless persons exists for whom no data is available.","2020, 2024",278,89,STA
